day,site,waterLevel
2017-11-05,TB Upland Well 2,0.23589778595658759
2017-11-05,TB Upland Well 3,0.3607472179323087
2017-11-05,TB Wetland Well Shallow,0.2344828737025188
2017-11-06,BB Wetland Well Shallow,0.179779624474895
2017-11-06,DB Wetland Well Shallow,0.27878110772489495
2017-11-06,DF Wetland Well Shallow,0.3427325564989221
2017-11-06,DK Upland Well 1,-0.134491311261628
2017-11-06,DK Wetland Well Shallow,0.12651620064156188
2017-11-06,GR Wetland Well Shallow,0.055932859125
2017-11-06,ND Upland Well 1,0.13124333228712173
2017-11-06,ND Wetland Well Shallow,0.20015704976656173
2017-11-06,QB Upland Well 1,0.37250704641962834
2017-11-06,TB Upland Well 2,0.2671258033838354
2017-11-06,TB Upland Well 3,0.40144092788733415
2017-11-06,TB Wetland Well Shallow,0.24563727804643323
2017-11-07,BB Wetland Well Shallow,0.18423122967620348
2017-11-07,DB Wetland Well Shallow,0.2899409126206479
2017-11-07,DF Wetland Well Shallow,0.3432231868252306
2017-11-07,DK Upland Well 1,-0.13627840967143062
2017-11-07,DK Wetland Well Shallow,0.12704400825953693
2017-11-07,GR Wetland Well Shallow,0.05992092495833334
2017-11-07,ND Upland Well 1,0.12941303740509688
2017-11-07,ND Wetland Well Shallow,0.2050225621484257
2017-11-07,QB Upland Well 1,0.3746710089403814
2017-11-07,TB Upland Well 2,0.26700035287681045
2017-11-07,TB Upland Well 3,0.3805294765747537
2017-11-07,TB Wetland Well Shallow,0.2493248013866306
2017-11-08,BB Wetland Well Shallow,0.27271879871223526
2017-11-08,DB Wetland Well Shallow,0.367639631615013
2017-11-08,DF Wetland Well Shallow,0.38663063419459565
2017-11-08,DK Upland Well 1,0.003611190961823283
2017-11-08,DK Wetland Well Shallow,0.23105256546223532
2017-11-08,GR Wetland Well Shallow,0.11431182720833333
2017-11-08,ND Upland Well 1,0.24122634737168414
2017-11-08,ND Wetland Well Shallow,0.2573217554761242
2017-11-08,QB Upland Well 1,0.4897591071986352
2017-11-08,TB Upland Well 2,0.38147945169062
2017-11-08,TB Upland Well 3,0.6140640720135633
2017-11-08,TB Wetland Well Shallow,0.32491078800599565
2017-11-09,BB Wetland Well Shallow,0.30434147111195115
2017-11-09,DB Wetland Well Shallow,0.38655156502861765
